Date,AAPL,NVDA,MSFT,LLY,DVA,COR,JPM,BAC,WFC,AMZN,NKE,SBUX,GOOGL,META,VZ,BA,MMM,GE,PG,KO,PEP,XOM,CVX,SLB,NEE,DUK,SO,AMT,SPG,PLD,BHP,RIO,ECL
2023-05-04,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-05-05,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-05-08,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-05-09,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-05-10,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-05-11,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-05-12,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-05-15,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-05-16,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-05-17,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-05-18,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-05-19,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-05-22,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-05-23,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-05-24,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-05-25,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-05-26,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-05-30,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-05-31,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-06-01,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-06-02,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-06-05,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-06-06,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-06-07,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-06-08,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-06-09,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-06-12,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-06-13,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-06-14,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-06-15,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-06-16,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-06-20,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-06-21,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-06-22,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-06-23,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-06-26,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-06-27,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-06-28,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-06-29,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-06-30,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-07-03,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-07-05,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-07-06,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-07-07,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-07-10,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-07-11,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-07-12,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-07-13,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-07-14,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-07-17,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-07-18,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-07-19,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-07-20,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-07-21,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-07-24,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-07-25,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-07-26,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-07-27,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-07-28,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-07-31,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-08-01,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-08-02,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
